Sowing,Harvesting,Latitude,Longitude,min_vh,min_vv,max_vh,max_vv,range_vh,range_vv,mean_vh,mean_vv,std_vh,std_vv,ratio_vv_vh,rvi
10-07-18,25-11-18,26.09,86.037,0.0048343827947974205,0.03455626219511032,0.06665626168251038,0.3257664144039154,0.061821878887712955,0.2912101522088051,0.027145475884409326,0.10900125319236204,0.013645522697495353,0.08148380641974402,4.0154482336765955,1.6632513129106161
15-07-18,08-11-18,26.505,85.702,0.017995957285165787,0.05497495457530022,0.12845724821090698,0.3921601474285126,0.1104612909257412,0.33718519285321236,0.07010493646649753,0.1785576100296834,0.030301494154159433,0.09019292281199463,2.547004804932879,2.2928208067762115
11-07-18,20-10-18,26.688,84.06,0.005552663933485746,0.07251761108636856,0.063588447868824,0.6027121543884277,0.05803578393533826,0.5301945433020592,0.03067820744875532,0.17505975182239825,0.015705110033359098,0.1341946536495568,5.706322708548631,1.424960234105318
06-08-18,03-12-18,22.685,88.109,0.010300527326762676,0.052099231630563736,0.11377030611038208,0.3748442530632019,0.1034697787836194,0.32274502143263817,0.04116431673367818,0.14732805863022805,0.029805311928588304,0.09186833004108061,3.579023540786553,1.775487299115555
08-07-18,05-11-18,26.509,85.7,0.01473227795213461,0.04883822053670883,0.14784777164459229,0.41895171999931335,0.13311549369245768,0.3701134994626045,0.04392598647003373,0.1544824211547772,0.03251340276244208,0.10701586720548308,3.516879951237179,1.7946346423940065
12-07-18,21-11-18,26.28,86.239,0.00870656967163086,0.03508306294679642,0.07852911204099655,0.29832133650779724,0.06982254236936569,0.2632382735610008,0.039438300977715036,0.12685886736620555,0.01715107270217439,0.06828394725198322,3.216641290858049,1.902265967997831
18-07-18,16-11-18,25.749,86.65,0.01119371596723795,0.062261566519737244,0.06703867018222809,0.255984365940094,0.05584495421499014,0.19372279942035675,0.036260483898222444,0.14484091073274613,0.015146077366917487,0.0486278954237994,3.994456089976408,1.667900927549002
16-07-18,18-11-18,25.9,86.649,0.016697296872735023,0.050317563116550446,0.15961474180221558,0.32429489493370056,0.14291744492948055,0.2739773318171501,0.051649220646000825,0.19258139569025773,0.03497252374943853,0.0681003299894678,3.728640883280573,1.7329656358426517
18-07-18,17-11-18,26.175,84.964,0.009342287667095661,0.037468913942575455,0.0677461326122284,0.3243183493614197,0.05840384494513273,0.2868494354188442,0.03569563398896544,0.12387206391603858,0.016334914662589888,0.06776854770256302,3.470230111456517,1.8096411709679727
30-07-18,22-11-18,24.995,85.662,0.025886021554470062,0.08898581564426422,0.1040756031870842,0.359862357378006,0.07818958163261414,0.27087654173374176,0.05404748636133531,0.18678326948600657,0.020445463577528848,0.07048191420592895,3.455910386604552,1.8143619616207263
